author,rating,date,text,source_url
,10.0,Ocena dodana: 4 czerwca 2026,"Lokalizacja, wygodnie urządzony pokój, łatwość zameldowania, czystość Brak uwag",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,9.0,Ocena dodana: 2 czerwca 2026,"Rewelacyjna lokalizacja! Kilka kroków i jest się nieopodal Zamku. Kilka kroków w drugą stronę i jest się na Rynku. Oprócz tego bezpośrednie połączenie autobusem z lotniska. Mieszkanko bardzo czyste, przyjemny zapach, pachnąca pościel, czyściutka szyba prysznicowa i sanitariaty. Łóżko wygodne. Na duży plus rolety zewnętrzne. Pokój nr 2 znajduje się na parterze, więc czułam się bezpieczniej móc zasłonić rolety. Lokalizacja obiektu pod kątem hałasu jest bardzo dobra z racji dostępu od strony dziedzińca, dzięki temu wieczorami jest cichutko i nie słychać dźwięków z ulicy. - Pomieszczenie ciemne, ale nie spędzałam tam w dzień czasu, więc mi nie przeszkadzało - Ściany dość cienkie, słyszałam chrapanie kogoś z piętra wyżej i nad ranem głośne rozmowy na korytarzu/z pokoju obok Ale to są szczegóły. Ja osobiście bardzo polecam to miejsce.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 20 maja 2026,Super lokalizacja i świetna obsługa,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 2 maja 2026,"Czyściutko, świetna lokalizacja.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 28 kwietnia 2026,"Nieskazitelnie czysty, pachnący nowością apartament, w którym nic a nic nie brakowało. Przewygodne łóżko z śnieżnobiałą, hotelową pościelą, znakomicie wyposażony aneks kuchenny- to wszystko wpływało na komfort pobytu. Urocze, pełne zieleni podwórko, cisza i spokój, a największe atrakcje Krakowa w zasięgu spaceru- wrażenia niezapomniane. Dziękujemy i polecamy, wrócimy za rok! Nie było takich rzeczy.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 21 kwietnia 2026,"Super miejsce, mega wygodne łóżko,świetnia lokalizacja",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 21 kwietnia 2026,"Super lokalizacja, spokojna okolica,czyściutko i pachnąco",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 13 marca 2026,"Pięknie,czysto, świetna lokalizacja i kontakt z gospodarzami.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,9.0,Ocena dodana: 20 października 2025,"Lokalizacja świetna, bardzo blisko do Wawelu do rynku też. Mieszkanie było czyste, przestronne i zadbane. Dużo miejsca w szczególności w sypialni. Polecam dla rodzin z dziećmi oraz par. Na pewno chętnie wrócę. Parking miejski dostępny na ulicy przed budynkiem, udało nam się zaparkować w zasadzie pod samą bramą. Bardzo dobry kontakt z właścicielem. Miłe zaskoczenie, że była kawa, herbata, cukier. Nie było zmywarki, ale na krótki pobyt nie było to uciążliwe.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,9.0,Ocena dodana: 13 października 2025,Dogodna lokalizacja Brak miejsca parkingowego,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 12 października 2025,Super lokalizacja. Miejsce przytulne wszystko co potrzebne było na miejscu.,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 24 września 2025,"Bardzo dobra lokalizacja, blisko Wawelu i Rynku (max 10 min na piechotę). Dzięki temu że nie znajduje sie na samym Starym Mieście jest w nocy cicho. Bardzo blisko do różnych atrakcji i gastronomii. Przemili właściciele i bardzo łatwy kontakt z nimi. Dużo udogodnień, bardzo czysto i komfortowo.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 10 września 2025,Czysto i przytulnie urządzone mieszkanie Wszystko ok,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 8 września 2025,"Pokój czysty, rzetelnie przekazane informacje w sprawie meldunku, a przede wszystkim blisko na Zamek czy Sukiennic. Blisko płatny parking.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 2 września 2025,"Jestem już drugi raz w ciągu dwóch tygodni. Bardzo czysto, dobrze wyposażony apartament we wszystko co potrzebne.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 28 sierpnia 2025,"Apartament godny, polecenia Rodzinie przyjaciołach,znajomym.Czystosc na 6÷,lokalizacja i wszystko inne.Jestem bardzo zadowona z pobytu u Państwa. Kiedykolwiek będę w Krakowie wybiorę, Państwa Apartameny.Bardzo dziękuję",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 26 sierpnia 2025,"położenie, czystość i wyposażenie, brak kluczy do pokoju",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,9.0,Ocena dodana: 18 sierpnia 2025,"Bardzo duży apartament. Strome schody do apartamentu. Mi to nie przeszkadzało, ale dla starszych osób mógłby być to problem",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 28 lipca 2025,"Wspaniałe miejsce, idealna lokalizacja do zwiedzania miasta, wszystko na wyciągnięcie ręki, apartament posiada wszystko co potrzebne, czysty, łóżka bardzo wygodne, świetny kontakt z wynajmującym. Polecam z czystego serca i na pewno jeszcze wrócę. Gdyby była wyższa skala oceniłbym bez wahania:) mieliśmy okazję poznać osobiście właścicielkę - przesympatyczna, ciepła, życzliwa a do tego bardzo towarzyska osoba. Pozdrawiam serdecznie:) Nie było takich rzeczy",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,10.0,Ocena dodana: 26 lipca 2025,"Piękny apartament, czysty, wyposażony we wszystkie potrzebne sprzęty. Plus za deskę do prasowania i żelazko😀 Do Wawelu dosłownie kilka minut, lokalizacja idealna. Polecam pobyt w tym apartamencie.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
,7.0,Ocena dodana: 17 listopada 2025,"Dobra lokalizacja, łatwość zameldowania. Wszechobecny kurz, pajęczyny (widoczne na zdjęciach), uszkodzony grzejnik - brak termostatu (strasznie nagrzane/duszne pomieszczenia), zabrudzenia na płytkach w łazience przy prysznicu. Drobne rzeczy, ale znacząco wpłynęły na nasz komfort ..",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782207715501&force_referer=#tab-reviews
